primitive_id,market,causal_role,metric,source_requirement,point_in_time_required,directional_by_itself,proof_status,live_decision_weight,capital_permission
crypto:trigger:perp_signed_flow,crypto,trigger,perp_signed_flow,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:trigger:liquidation_threshold_hit,crypto,trigger,liquidation_threshold_hit,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:trigger:listing_delisting,crypto,trigger,listing_delisting,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:trigger:protocol_event,crypto,trigger,protocol_event,chain/protocol disclosures,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:trigger:etf_creation_redemption,crypto,trigger,etf_creation_redemption,fund sponsor/exchange/vendor,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:trigger:stablecoin_mint_burn,crypto,trigger,stablecoin_mint_burn,on-chain supply,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:trigger:security_incident,crypto,trigger,security_incident,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:transmission:short_liquidation,crypto,transmission,short_liquidation,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:transmission:long_liquidation,crypto,transmission,long_liquidation,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:transmission:cross_venue_arbitrage,crypto,transmission,cross_venue_arbitrage,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:transmission:market_maker_inventory,crypto,transmission,market_maker_inventory,EIA/official agencies/exchange stocks,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:transmission:perp_spot_basis,crypto,transmission,perp_spot_basis,exchange futures basis,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:transmission:social_reflexivity,crypto,transmission,social_reflexivity,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:transmission:onchain_bridge_flow,crypto,transmission,onchain_bridge_flow,chain data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
crypto:transmission:liquidity_gap,crypto,transmission,liquidity_gap,market-specific point-in-time source required,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
